IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
163.5.175.171,51397,true,HKG,亚太,香港,150 ms,15703 kB/s
149.104.3.4,42305,true,HKG,亚太,香港,150 ms,15077 kB/s
43.248.11.175,24807,true,HKG,亚太,香港,148 ms,14940 kB/s
149.104.3.12,58189,true,LAX,北美洲,美国洛杉矶,148 ms,12381 kB/s
103.240.196.61,21109,true,SIN,亚太,新加坡,147 ms,12164 kB/s
216.23.116.48,2053,true,HKG,亚太,香港,149 ms,11928 kB/s
43.248.11.187,30665,true,HKG,亚太,香港,149 ms,11542 kB/s
149.104.3.190,58931,true,HKG,亚太,香港,149 ms,10539 kB/s
103.240.198.81,443,true,HKG,亚太,香港,149 ms,10442 kB/s
103.240.196.61,21107,true,TPE,亚太,台北,148 ms,9999 kB/s
103.240.196.61,21124,true,FRA,欧洲,德国法兰克福,152 ms,9891 kB/s
103.240.198.57,13140,true,HKG,亚太,香港,147 ms,9872 kB/s
149.104.4.33,34524,true,HKG,亚太,香港,148 ms,9801 kB/s
103.240.198.31,33033,true,SIN,亚太,新加坡,154 ms,9689 kB/s
103.240.196.61,21128,true,LAX,北美洲,美国洛杉矶,149 ms,9367 kB/s
216.23.116.10,443,true,HKG,亚太,香港,152 ms,9346 kB/s
216.23.117.45,8443,true,HKG,亚太,香港,145 ms,9210 kB/s
149.104.5.216,24281,true,HKG,亚太,香港,151 ms,9180 kB/s
103.24.217.122,51588,true,HKG,亚太,香港,148 ms,9152 kB/s
149.104.22.249,1111,true,SIN,亚太,新加坡,148 ms,9076 kB/s
149.104.3.97,443,true,HKG,亚太,香港,147 ms,9047 kB/s
149.104.4.100,54298,true,HKG,亚太,香港,146 ms,8696 kB/s
149.104.3.16,443,true,HKG,亚太,香港,146 ms,8689 kB/s
43.248.11.237,15645,true,HKG,亚太,香港,147 ms,8569 kB/s
43.248.10.64,443,true,HKG,亚太,香港,147 ms,8214 kB/s
149.104.22.2,40867,true,HKG,亚太,香港,150 ms,8176 kB/s
103.96.140.248,22304,true,HKG,亚太,香港,150 ms,8086 kB/s
103.240.196.61,21108,true,TPE,亚太,台北,147 ms,7640 kB/s
103.96.140.152,17503,true,NRT,亚太,日本东京,150 ms,7378 kB/s
149.104.3.12,58003,true,LAX,北美洲,美国洛杉矶,148 ms,6954 kB/s
43.254.167.234,19607,true,HKG,亚太,香港,150 ms,4577 kB/s
149.104.4.136,31009,true,NRT,亚太,日本东京,147 ms,3391 kB/s
103.96.140.87,10001,true,LAX,北美洲,美国洛杉矶,301 ms,3137 kB/s
149.104.22.68,443,true,HKG,亚太,香港,151 ms,1371 kB/s
38.55.99.152,44444,true,SIN,亚太,新加坡,199 ms,708 kB/s
38.55.99.152,45311,true,SIN,亚太,新加坡,165 ms,701 kB/s
38.55.99.152,44440,true,SIN,亚太,新加坡,164 ms,576 kB/s
38.55.99.152,52521,true,SIN,亚太,新加坡,147 ms,483 kB/s
38.55.99.152,56888,true,SIN,亚太,新加坡,260 ms,431 kB/s
38.55.99.152,40911,true,SIN,亚太,新加坡,195 ms,233 kB/s
43.254.164.160,8443,true,HKG,亚太,香港,151 ms,155 kB/s
38.55.99.130,50406,true,KUL,亚太,马来西亚吉隆坡,337 ms,151 kB/s
103.240.198.204,24055,true,KUL,亚太,马来西亚吉隆坡,174 ms,46 kB/s
43.248.9.25,35052,true,SIN,亚太,新加坡,145 ms,0 kB/s
103.214.172.254,35052,true,SIN,亚太,新加坡,153 ms,0 kB/s
149.104.4.127,11546,true,HKG,亚太,香港,152 ms,0 kB/s
38.55.99.184,40001,true,SJC,北美洲,美国圣何塞,381 ms,0 kB/s
149.104.4.136,50158,true,EWR,北美洲,美国纽瓦克,147 ms,0 kB/s
38.55.99.152,51443,true,SIN,亚太,新加坡,186 ms,0 kB/s
38.55.99.199,40001,true,SJC,北美洲,美国圣何塞,301 ms,0 kB/s
